순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,극한직업,2019.1.23,"139,648,729,516",17.1%,"139,648,729,516","16,265,094","16,265,094","2,003","292,578",한국,한국,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,코미디,이병헌,"류승룡,이하늬,진선규,이동휘,공명,양현민,장진희,허준석,한준우,김명준,나철,정재광,정원창,김강현,김지영"
2,기생충,2019.5.30,"85,873,327,245",10.5%,"85,873,327,245","10,083,922","10,083,922","1,948","192,836",한국,한국,(주)바른손이앤에이,씨제이이앤엠(주),15세이상관람가,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,장혜진,이정은,박명훈,현승민,정현준,윤혜리,박근록,이시훈"
3,엑시트,2019.7.31,"79,185,513,662",9.7%,"79,185,513,662","9,418,681","9,418,681","1,660","202,163",한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),12세이상관람가,"코미디,액션",이상근,"조정석,윤아,고두심,박인환,김지영,강기영,오희준,배유람,유수빈,조성희,주보비,김강현,정민성,박성일,신세휘,김경룡,김강훈"
4,봉오동 전투,2019.8.7,"40,568,096,538",5.0%,"40,568,096,538","4,784,266","4,784,266","1,476","106,997",한국,한국,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",(주)쇼박스,15세이상관람가,"사극,액션,드라마",원신연,"유해진,류준열,조우진,키타무라 카즈키,이케우치 히로유키,박지환,최유화,성유빈,이재인,다이고 코타로,고민시,지웅배,양현민,김기태"
5,나쁜 녀석들: 더 무비,2019.9.11,"39,549,761,124",4.9%,"39,549,761,124","4,572,606","4,572,606","1,511","113,882",한국,한국,"씨제이이앤엠(주),(주)영화사비단길",씨제이이앤엠(주),15세이상관람가,"범죄,액션",손용호,"마동석,김상중,김아중,장기용,강예원,김대영,박형수,김혜윤,손성찬"
6,돈,2019.3.20,"28,869,614,062",3.5%,"28,869,614,062","3,389,035","3,389,035","1,431","120,808",한국,한국,"(주)사나이픽처스,(주)영화사 월광",(주)쇼박스,15세이상관람가,범죄,박누리,"류준열,유지태,조우진,원진아,박명신,이화룡,오희준,정기섭,차래형,김강현"
7,악인전,2019.5.15,"29,133,760,150",3.6%,"29,133,760,150","3,364,712","3,364,712","1,307","97,351",한국,한국,(주)비에이엔터테인먼트,"(주)에이스메이커무비웍스,(주)키위미디어그룹",청소년관람불가,"범죄,액션",이원태,"마동석,김무열,김성규,문동혁,오희준,민무제,문순주,김근영,전배수"
8,가장 보통의 연애,2019.10.2,"24,343,085,690",3.0%,"24,343,085,690","2,851,980","2,851,980","1,073","106,415",한국,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",김한결,"김래원,공효진,강기영,정웅인,장소연,주민경,오동민,이채은,손영순,손성찬,차엽"
9,말모이,2019.1.9,"23,683,838,520",2.9%,"23,988,345,520","2,812,684","2,866,260","1,203","87,589",한국,한국,더램프(주),롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,엄유나,"유해진,윤계상,김홍파,우현,김선영,민진웅,이성욱,조현철,오희준,정기섭,허성태,김동영,예수정,김태훈"
10,증인,2019.2.13,"20,477,862,331",2.5%,"20,477,862,331","2,534,175","2,534,175","1,047","89,557",한국,한국,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준"
