movieCd,movieNm,moviePartNm,peopleCd,peopleNm,sex
20184621,엑시트,제작,10019069,류승완,남자
20177539,사바하,제작,10019069,류승완,남자
20161481,군함도,감독,10019069,류승완,남자
20161481,군함도,시나리오(각본),10019069,류승완,남자
20161481,군함도,기획,10019069,류승완,남자
20177063,군함도 감독판,감독,10019069,류승완,남자
20148048,베테랑,감독,10019069,류승완,남자
20148048,베테랑,시나리오(각본),10019069,류승완,남자
20124083,베를린,감독,10019069,류승완,남자
20124083,베를린,시나리오(각본),10019069,류승완,남자
20124083,베를린,기획,10019069,류승완,남자
20102415,평양성,배우,10019069,류승완,남자
20100213,부당거래,감독,10019069,류승완,남자
20100213,부당거래,각색,10019069,류승완,남자
20100213,부당거래,제작,10019069,류승완,남자
20100305,해결사,제작,10019069,류승완,남자
20100305,해결사,시나리오(각본),10019069,류승완,남자
20080833,다찌마와리,감독,10019069,류승완,남자
20080833,다찌마와리,배우,10019069,류승완,남자
20080833,다찌마와리,시나리오(각본),10019069,류승완,남자
20080912,"감독들, 김기영을 말하다",배우,10019069,류승완,남자
20060134,짝패,감독,10019069,류승완,남자
20060134,짝패,배우,10019069,류승완,남자
20060134,짝패,시나리오(각본),10019069,류승완,남자
20060134,짝패,제작,10019069,류승완,남자
20050049,주먹이 운다(Crying Fist),감독,10019069,류승완,남자
20050049,주먹이 운다(Crying Fist),시나리오(각본),10019069,류승완,남자
20040488,아라한 장풍대작전,감독,10019069,류승완,남자
20040488,아라한 장풍대작전,시나리오(각본),10019069,류승완,남자
20020226,오아시스,배우,10019069,류승완,남자
20020083,피도 눈물도 없이,감독,10019069,류승완,남자
20020083,피도 눈물도 없이,시나리오(각본),10019069,류승완,남자
20000006,죽거나 혹은 나쁘거나,감독,10019069,류승완,남자
20000006,죽거나 혹은 나쁘거나,배우,10019069,류승완,남자
20000006,죽거나 혹은 나쁘거나,시나리오(각본),10019069,류승완,남자
20151249,타임리스,감독,10019069,류승완,남자
20061251,남자니까 아시잖아요?,감독,10019069,류승완,남자
20151252,다찌마와리,감독,10019069,류승완,남자
20147235,현대인,감독,10019069,류승완,남자
20147235,현대인,배우,10019069,류승완,남자
19998458,패싸움,감독,10019069,류승완,남자
20120722,남자니까 아시잖아요?,감독,10019069,류승완,남자
