순위,영화명,개봉일,상영횟수,상영점유율,매출액,누적매출액,관객수,누적관객수
25,파수꾼,2011-03-03,1,0.011%,585000,194775600,66,24877
25,잉투기,2013-11-14,1,0.011%,55000,130009600,11,18122
25,할머니의 먼 집,2016-09-29,1,0.011%,148000,1725000,19,299
25,드롭박스,2016-05-19,1,0.011%,116000,16037800,14,2156
25,카이: 거울 호수의 전설,2016-08-17,1,0.011%,74000,181911500,17,24492
1,밀정,2016-09-07,6337,72.069%,3877793400,49982681371,464352,6049842
2,"고산자, 대동여지도",2016-09-07,1535,17.457%,556621200,6897522458,68399,852500
3,달빛궁궐,2016-09-07,346,3.935%,108304100,1047417000,14463,138081
4,터널,2016-08-10,149,1.695%,20042200,57507037717,2497,7117207
5,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,129,1.467%,18612200,198704700,2278,23857
6,덕혜옹주,2016-08-03,125,1.422%,16561000,44351858609,1968,5591937
7,최악의 하루,2016-08-25,49,0.557%,7826500,600257890,1056,75797
8,부산행,2016-07-20,28,0.318%,4587500,93169180048,533,11564240
9,내부자들: 디 오리지널,2015-12-31,12,0.136%,909500,16979714975,138,2084868
10,범죄의 여왕,2016-08-25,11,0.125%,990000,339288700,126,43167
11,살인의 추억,2003-04-25,10,0.114%,732000,15662997,109,2338
12,브링 홈: 아버지의 땅,2016-09-01,7,0.08%,147000,60340200,19,7789
12,왕초와 용가리,2016-09-08,7,0.08%,149000,5080200,23,827
14,서울역,2016-08-17,6,0.068%,257000,1162095562,47,146973
14,아가씨(확장판),,6,0.068%,1642500,77353300,224,10285
16,그림자들의 섬,2016-08-25,5,0.057%,148000,20136300,22,2925
16,우리들,2016-06-16,5,0.057%,338000,343798960,46,45913
16,깡치,2016-09-08,5,0.057%,25000,1497000,5,226
19,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-17,4,0.045%,203000,266258920,40,34917
19,나는 증인이다,2016-09-14,4,0.045%,620000,3064000,109,557
21,인천상륙작전,2016-07-27,3,0.034%,334000,55087680803,42,7046830
22,만추,2011-02-17,2,0.023%,132000,6340309900,16,849152
23,물숨,2016-09-29,1,0.011%,488200,13271400,74,1645
23,장례식의 멤버,2009-03-12,1,0.011%,0,3522000,0,541
23,"시발, 놈: 인류의 시작",2016-08-18,1,0.011%,24000,8802400,4,1159
23,해에게서 소년에게,2015-11-19,1,0.011%,2000,4551500,1,676
23,양치기들,2016-06-02,1,0.011%,190000,49416200,22,6161
23,카이: 거울 호수의 전설,2016-08-17,1,0.011%,9000,181920500,2,24494
23,미망인,1955-12-10,1,0.011%,9000,642000,3,301
23,소셜포비아,2015-03-12,1,0.011%,45000,1977391563,9,251381
1,밀정,2016-09-07,5298,70.349%,852774100,50835455471,116606,6166448
2,"고산자, 대동여지도",2016-09-07,1478,19.626%,95714700,6993237158,13367,865867
3,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,171,2.271%,5915000,204619700,853,24710
4,터널,2016-08-10,158,2.098%,5948500,57512986217,843,7118050
5,달빛궁궐,2016-09-07,133,1.766%,5732000,1053149000,853,138934
6,덕혜옹주,2016-08-03,131,1.739%,4985500,44356844109,741,5592678
7,최악의 하루,2016-08-25,60,0.797%,3382000,603639890,450,76247
8,부산행,2016-07-20,32,0.425%,1764500,93170944548,247,11564487
9,범죄의 여왕,2016-08-25,12,0.159%,677500,339966200,117,43284
10,브링 홈: 아버지의 땅,2016-09-01,11,0.146%,1821000,62161200,232,8021
11,아가씨(확장판),,5,0.066%,791500,78144800,97,10382
11,깡치,2016-09-08,5,0.066%,25000,1522000,5,231
11,그림자들의 섬,2016-08-25,5,0.066%,498000,20634300,79,3004
14,인천상륙작전,2016-07-27,4,0.053%,166000,55087846803,28,7046858
14,대결,2016-09-22,4,0.053%,10912000,14170000,1364,1812
14,왕초와 용가리,2016-09-08,4,0.053%,62000,5142200,10,837
17,원점,,3,0.04%,448000,1488000,224,744
17,우리들,2016-06-16,3,0.04%,85000,343883960,11,45924
19,서울역,2016-08-17,2,0.027%,61000,1162156562,9,146982
19,올레,2016-08-25,2,0.027%,12000,522926900,2,66881
21,성실한 나라의 앨리스,2015-08-13,1,0.013%,80000,350183500,16,44066
21,우리 연애의 이력,2016-06-29,1,0.013%,5000,23916800,1,3016
21,들개,2014-04-03,1,0.013%,80000,25116200,16,3209
21,나는 증인이다,2016-09-14,1,0.013%,95000,3159000,19,576
21,할머니의 먼 집,2016-09-29,1,0.013%,1400000,3125000,175,474
21,그랜드파더,2016-08-31,1,0.013%,9000,232867600,1,31497
21,파수꾼,2011-03-03,1,0.013%,0,194775600,0,24877
21,나홀로 휴가,2016-09-22,1,0.013%,2192000,8970000,274,1013
21,럭키,2016-10-13,1,0.013%,1530000,1530000,170,170
21,이쁜 것들이 되어라,2014-04-17,1,0.013%,37000,4219400,7,542
1,밀정,2016-09-07,5291,70.584%,704666700,51540122171,96608,6263056
2,"고산자, 대동여지도",2016-09-07,1468,19.584%,86678100,7079915258,12072,877939
3,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,158,2.108%,4590500,209210200,681,25391
4,터널,2016-08-10,150,2.001%,5611700,57518597917,896,7118946
5,덕혜옹주,2016-08-03,124,1.654%,4159000,44361003109,629,5593307
6,달빛궁궐,2016-09-07,107,1.427%,4364000,1057513000,650,139584
7,최악의 하루,2016-08-25,59,0.787%,3509000,607148890,466,76713
8,부산행,2016-07-20,24,0.32%,891500,93171836048,122,11564609
9,새오빠,2016-09-20,20,0.267%,751000,751000,134,134
10,브링 홈: 아버지의 땅,2016-09-01,16,0.213%,1982000,64143200,263,8284
11,범죄의 여왕,2016-08-25,15,0.2%,333000,340299200,46,43330
12,왕초와 용가리,2016-09-08,6,0.08%,68000,5210200,11,848
13,우리들,2016-06-16,5,0.067%,131000,344014960,16,45940
13,우리 연애의 이력,2016-06-29,5,0.067%,42000,23958800,9,3025
13,아가씨(확장판),,5,0.067%,454000,78598800,59,10441
13,그림자들의 섬,2016-08-25,5,0.067%,63000,20697300,9,3013
13,인천상륙작전,2016-07-27,5,0.067%,152000,55087998803,24,7046882
13,깡치,2016-09-08,5,0.067%,25000,1547000,5,236
19,나무없는 산,2009-08-27,4,0.053%,20000,55293500,10,7739
19,자백,2016-10-13,4,0.053%,5312000,26674000,1016,4143
21,원점,,3,0.04%,292000,1780000,146,890
22,나는 증인이다,2016-09-14,2,0.027%,105000,3264000,21,597
22,물숨,2016-09-29,2,0.027%,2569000,15840400,367,2012
22,올레,2016-08-25,2,0.027%,12000,522938900,2,66883
25,카이: 거울 호수의 전설,2016-08-17,1,0.013%,84000,182004500,28,24522
25,서울역,2016-08-17,1,0.013%,8000,1162164562,1,146983
25,국가대표 2,2016-08-10,1,0.013%,700000,5476047042,140,708932
25,일사각오,2016-03-17,1,0.013%,144000,680386500,18,94381
25,짐승의 끝,2011-03-17,1,0.013%,0,9241500,0,1234
25,2016 대단한단편영화제-배우 특별전: 이상희,,1,0.013%,200000,902000,25,113
25,이름없는 자들의 이름,,1,0.013%,18000,693000,3,138
25,한강블루스,2016-09-22,1,0.013%,3000000,7673000,375,909
25,"1789, 바스티유의 연인들",2014-09-18,1,0.013%,644000,75447500,73,4742
25,소셜포비아,2015-03-12,1,0.013%,25000,1977416563,5,251386
25,위로공단,2015-08-13,1,0.013%,0,107282800,0,14358
1,밀정,2016-09-07,4976,73.123%,644758500,52184880671,88955,6352011
2,"고산자, 대동여지도",2016-09-07,1290,18.957%,81788100,7161703358,11592,889531
3,터널,2016-08-10,125,1.837%,4613500,57523211417,757,7119703
4,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,99,1.455%,2859500,212069700,426,25817
4,달빛궁궐,2016-09-07,99,1.455%,3025800,1060538800,474,140058
6,덕혜옹주,2016-08-03,75,1.102%,3911000,44364914109,543,5593850
7,최악의 하루,2016-08-25,55,0.808%,3057700,610206590,404,77117
8,부산행,2016-07-20,23,0.338%,822500,93172658548,113,11564722
9,아수라,2016-09-28,9,0.132%,13860000,13860000,2007,2007
9,범죄의 여왕,2016-08-25,9,0.132%,449000,340748200,58,43388
11,브링 홈: 아버지의 땅,2016-09-01,7,0.103%,1751000,65894200,221,8505
12,나무없는 산,2009-08-27,5,0.073%,32000,55325500,16,7755
12,깡치,2016-09-08,5,0.073%,25000,1572000,5,241
12,아가씨(확장판),,5,0.073%,764100,79362900,99,10540
15,왕초와 용가리,2016-09-08,4,0.059%,80000,5290200,11,859
16,그림자들의 섬,2016-08-25,3,0.044%,1274000,21971300,182,3195
16,자백,2016-10-13,3,0.044%,6686000,33360000,824,4967
18,서울역,2016-08-17,2,0.029%,23000,1162187562,4,146987
18,인천상륙작전,2016-07-27,2,0.029%,85000,55088083803,15,7046897
18,원점,,2,0.029%,448000,2228000,224,1114
21,한강블루스,2016-09-22,1,0.015%,16000,7689000,2,911
21,잉투기,2013-11-14,1,0.015%,35000,130044600,7,18129
21,파수꾼,2011-03-03,1,0.015%,0,194775600,0,24877
21,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,1,0.015%,110000,898918000,22,134139
21,우리들,2016-06-16,1,0.015%,26000,344040960,4,45944
21,국가대표 2,2016-08-10,1,0.015%,340000,5476387042,68,709000
21,나는 증인이다,2016-09-14,1,0.015%,40000,3304000,8,605
1,밀정,2016-09-07,4582,62.544%,611702900,52796583571,84219,6436230
2,대결,2016-09-22,1152,15.725%,37439500,51609500,5296,7108
3,"고산자, 대동여지도",2016-09-07,967,13.2%,69526800,7231230158,9700,899231
4,나홀로 휴가,2016-09-22,331,4.518%,8361000,17331000,1180,2193
5,달빛궁궐,2016-09-07,40,0.546%,1842000,1062380800,325,140383
6,최악의 하루,2016-08-25,39,0.532%,1971500,612178090,260,77377
7,터널,2016-08-10,26,0.355%,809500,57524020917,109,7119812
8,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,24,0.328%,2022500,214092200,324,26141
9,외박: 친구의 여자,2016-09-22,20,0.273%,1085000,1085000,204,204
9,여직원들 : 직장연애사,2016-09-22,20,0.273%,751000,751000,134,134
9,매너선생님,2016-09-22,20,0.273%,909000,909000,168,168
9,침대렐라,2016-09-22,20,0.273%,910000,910000,168,168
13,덕혜옹주,2016-08-03,19,0.259%,1405500,44366319609,186,5594036
14,한강블루스,2016-09-22,18,0.246%,709400,8398400,91,1002
15,브링 홈: 아버지의 땅,2016-09-01,6,0.082%,1659000,67553200,211,8716
15,자백,2016-10-13,6,0.082%,9898000,43258000,1414,6381
17,아가씨(확장판),,4,0.055%,379900,79742800,56,10596
17,그림자들의 섬,2016-08-25,4,0.055%,237000,22208300,39,3234
17,범죄의 여왕,2016-08-25,4,0.055%,250000,340998200,32,43420
17,부산행,2016-07-20,4,0.055%,221500,93172880048,29,11564751
21,죽여주는 여자,2016-10-06,3,0.041%,2896000,4282000,362,488
22,우주의 크리스마스,2016-10-13,2,0.027%,2142000,2142000,357,357
22,물숨,2016-09-29,2,0.027%,2002000,17842400,262,2274
22,그랜드파더,2016-08-31,2,0.027%,28000,232895600,5,31502
22,왕초와 용가리,2016-09-08,2,0.027%,21000,5311200,3,862
22,인천상륙작전,2016-07-27,2,0.027%,19000,55088102803,3,7046900
27,4등,2016-04-13,1,0.014%,40000,284113700,10,38244
27,우리들,2016-06-16,1,0.014%,33000,344073960,5,45949
27,돈의 맛,2012-05-17,1,0.014%,47000,8780225611,7,1166025
27,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,1,0.014%,145000,899063000,29,134168
27,눈길,2017-03-01,1,0.014%,120000,120000,30,30
27,외도(무삭제판),2016-09-22,1,0.014%,5000,5000,1,1
27,우아한 나체들,,1,0.014%,7000,96000,1,21
1,밀정,2016-09-07,4764,63.673%,854569268,53651152839,105609,6541839
2,대결,2016-09-22,1113,14.876%,42362600,93972100,5371,12479
3,"고산자, 대동여지도",2016-09-07,995,13.299%,93478700,7324708858,12126,911357
4,나홀로 휴가,2016-09-22,337,4.504%,10900100,28231100,1424,3617
5,달빛궁궐,2016-09-07,59,0.789%,4605500,1066986300,671,141054
6,최악의 하루,2016-08-25,45,0.601%,3085000,615263090,363,77740
7,아수라,2016-09-28,31,0.414%,66160000,80020000,7175,9182
8,터널,2016-08-10,23,0.307%,819000,57524839917,104,7119916
8,덕혜옹주,2016-08-03,23,0.307%,3593000,44369912609,619,5594655
10,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,22,0.294%,1552000,215644200,236,26377
11,한강블루스,2016-09-22,18,0.241%,1468700,9867100,151,1153
12,자백,2016-10-13,7,0.094%,9366000,52624000,1515,7896
13,브링 홈: 아버지의 땅,2016-09-01,5,0.067%,2190000,69743200,286,9002
13,아가씨(확장판),,5,0.067%,819000,80561800,103,10699
15,부산행,2016-07-20,4,0.053%,199500,93173079548,25,11564776
16,범죄의 여왕,2016-08-25,3,0.04%,44000,341042200,7,43427
16,그랜드파더,2016-08-31,3,0.04%,15000,232910600,2,31504
18,인천상륙작전,2016-07-27,2,0.027%,56000,55088158803,10,7046910
18,그림자들의 섬,2016-08-25,2,0.027%,772000,22980300,127,3361
20,그럼에도 불구하고,2017-08-24,1,0.013%,15000,185000,3,37
20,할머니의 먼 집,2016-09-29,1,0.013%,36000,3161000,9,483
20,서울역,2016-08-17,1,0.013%,16000,1162203562,2,146989
20,한국다큐쇼케이스 단편,,1,0.013%,15000,15000,4,4
20,인디애니페스트2016-독립보행3,,1,0.013%,297000,297000,50,50
20,우리들,2016-06-16,1,0.013%,36000,344109960,4,45953
20,올 리브 올리브,2017-07-13,1,0.013%,2500,2500,1,1
20,촌구석,,1,0.013%,5000,5000,2,2
20,바람난 가족,2003-08-14,1,0.013%,130000,222000,15,31
20,드롭박스,2016-05-19,1,0.013%,27000,16064800,3,2159
20,핵마피아,,1,0.013%,47500,282500,10,62
20,깨어난 침묵,,1,0.013%,47500,456500,12,89
20,가현이들,,1,0.013%,62500,62500,13,13
20,그녀들의 점심시간,,1,0.013%,32500,245000,9,94
20,사람이 산다,,1,0.013%,0,1275000,0,218
20,비밀은 없다,2016-06-23,1,0.013%,80000,2027801239,20,250650
20,왕초와 용가리,2016-09-08,1,0.013%,7000,5318200,1,863
20,죽여주는 여자,2016-10-06,1,0.013%,814000,5096000,102,590
20,어린 형수,2016-09-23,1,0.013%,5000,5000,1,1
20,나는 증인이다,2016-09-14,1,0.013%,75000,3379000,15,620
20,인디애니페스트2016-새벽비행2,,1,0.013%,258000,258000,44,44
1,밀정,2016-09-07,4801,70.088%,1641072454,55292225293,192760,6734599
2,"고산자, 대동여지도",2016-09-07,825,12.044%,156118000,7480826858,19159,930516
3,대결,2016-09-22,724,10.569%,44951600,138923700,5494,17973
4,나홀로 휴가,2016-09-22,198,2.891%,6629500,34860600,813,4430
5,달빛궁궐,2016-09-07,131,1.912%,23565800,1090552100,3322,144376
6,최악의 하루,2016-08-25,46,0.672%,4947500,620210590,558,78298
7,터널,2016-08-10,20,0.292%,1326000,57526165917,165,7120081
8,덕혜옹주,2016-08-03,14,0.204%,1464000,44371376609,181,5594836
9,한강블루스,2016-09-22,13,0.19%,725000,10592100,91,1244
10,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,10,0.146%,579000,216223200,86,26463
11,범죄의 여왕,2016-08-25,7,0.102%,353000,341395200,46,43473
12,자백,2016-10-13,6,0.088%,8126000,60750000,1105,9001
13,브링 홈: 아버지의 땅,2016-09-01,5,0.073%,120000,69863200,17,9019
14,왕초와 용가리,2016-09-08,4,0.058%,134000,5452200,19,882
15,아가씨(확장판),,3,0.044%,883500,81445300,95,10794
15,우리들,2016-06-16,3,0.044%,84000,344193960,13,45966
17,서울역,2016-08-17,2,0.029%,46000,1162249562,9,146998
17,카이: 거울 호수의 전설,2016-08-17,2,0.029%,85000,182089500,20,24542
17,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-17,2,0.029%,26000,266284920,5,34922
17,29.97-Media art work screening,,2,0.029%,140000,140000,35,35
17,부산행,2016-07-20,2,0.029%,128000,93173207548,15,11564791
22,인천상륙작전,2016-07-27,1,0.015%,25000,55088183803,3,7046913
22,양치기들,2016-06-02,1,0.015%,158000,49574200,19,6180
22,우리 연애의 이력,2016-06-29,1,0.015%,17000,23975800,3,3028
22,황색바람,,1,0.015%,12500,12500,3,3
22,불온한 당신,2017-07-20,1,0.015%,40000,4021200,10,701
22,국가대표 2,2016-08-10,1,0.015%,840000,5477227042,120,709120
22,아티스트,,1,0.015%,25000,369000,5,121
22,그림자들의 섬,2016-08-25,1,0.015%,48000,23028300,6,3367
22,할머니의 먼 집,2016-09-29,1,0.015%,76000,3237000,19,502
22,인디애니페스트2016-독립보행1,,1,0.015%,957000,957000,84,84
22,인디애니페스트2016-새벽비행1,,1,0.015%,842500,842500,66,66
22,청소년 경쟁 1,,1,0.015%,74500,74500,17,17
22,죽여주는 여자,2016-10-06,1,0.015%,590000,5686000,66,656
22,나는 증인이다,2016-09-14,1,0.015%,300000,3679000,60,680
22,매너선생님,2016-09-22,1,0.015%,8000,917000,1,169
22,물숨,2016-09-29,1,0.015%,112000,17954400,28,2302
22,노후 대책 없다,2017-06-29,1,0.015%,126000,126000,28,28
22,마담 B,2018-11-15,1,0.015%,27500,81500,7,18
22,22,2018-08-14,1,0.015%,0,0,0,0
22,그랜드파더,2016-08-31,1,0.015%,16000,232926600,2,31506
22,그 날,,1,0.015%,210000,210000,48,48
22,청소년 경쟁 2,,1,0.015%,42500,42500,9,9
22,다시 태어나도 우리,2017-09-27,1,0.015%,159500,159500,36,36
22,공동정범,2018-01-25,1,0.015%,137500,137500,28,28
22,"인디애니페스트2016-파노라마1 - 우울 한 스푼, 달콤살벌 두 스푼",,1,0.015%,834000,834000,64,64
22,난잎으로 칼을 얻다,,1,0.015%,25000,25000,7,7
22,용왕궁의 기억,,1,0.015%,20000,20000,4,4
22,이태원,,1,0.015%,107500,107500,22,22
22,안녕 히어로,2017-09-07,1,0.015%,172500,172500,40,40
22,바람커피로드,,1,0.015%,312500,312500,64,64
1,밀정,2016-09-07,4609,69.749%,1441655900,56733881193,169406,6904005
2,"고산자, 대동여지도",2016-09-07,802,12.137%,156497200,7637324058,19047,949563
3,대결,2016-09-22,700,10.593%,43438300,182362000,5297,23270
4,나홀로 휴가,2016-09-22,179,2.709%,5375000,40235600,667,5097
5,달빛궁궐,2016-09-07,129,1.952%,23641100,1114193200,3204,147580
6,최악의 하루,2016-08-25,44,0.666%,4235000,624445590,485,78783
7,터널,2016-08-10,18,0.272%,1308500,57527474417,160,7120241
8,덕혜옹주,2016-08-03,16,0.242%,1032000,44372408609,129,5594965
9,한강블루스,2016-09-22,15,0.227%,1028000,11620100,111,1355
10,브링 홈: 아버지의 땅,2016-09-01,13,0.197%,11037000,80900200,1391,10410
11,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,8,0.121%,563000,216786200,73,26536
12,범죄의 여왕,2016-08-25,6,0.091%,387000,341782200,53,43526
13,자백,2016-10-13,5,0.076%,9806000,70556000,1088,10089
13,왕초와 용가리,2016-09-08,5,0.076%,81000,5533200,13,895
15,우리들,2016-06-16,4,0.061%,385000,344578960,70,46036
